Title,Location,Company,Salary,Summary
Software Engineer,"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,None,Develops and maintains backend services for the BevoBeacon environmental sensor platform.Proficiency in developing software using Python and Javascript.
Engineer/Geologist I,"Atlanta, GA 30346",Sierra Piedmont,None,Phase I environmental site assessment execution.Installation of soil borings and groundwater monitoring wells using direct push and hollow stem auger methods.
Water/Wastewater EIT/Coordinator,"Minneapolis, MN",HDR,None,"Assist and create planning and design documents for water and wastewater treatment systems, collection and distribution systems, master/facility/utility…"
Sr. Environmental Engineer,"Grand Haven, MI 49417",Lakeshore Environmental,None,"Provide engineering design services in wastewater treatment system analysis, design, implementation (industrial, non-municipal)."
Entry Level Civil Engineer,"Youngstown, OH 44503 (Downtown area)",CT CONSULTANTS,$24 - $27 an hour,The Civil Engineer will support various project managers in completing a variety of projects for both public and private clients.
Senior Stormwater Engineer (Hydrology),"Oro Valley, AZ","Town of Oro Valley, AZ","$76,290 - $85,826 a year","You will also be able to communicate across all levels with experience and a drive to motivate, improve processes and help develop the team around you."
Senior Stormwater Engineer (Hydrology),"Oro Valley, AZ","Town of Oro Valley, AZ","$76,290 - $85,826 a year","You will also be able to communicate across all levels with experience and a drive to motivate, improve processes and help develop the team around you."
Water Resource Planning Engineer I,"Fort Worth, TX 76102",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
WATER WASTEWATER ENGINEER,"Colorado Springs, CO 80919 (Northwest Colorado Springs area)","JDS-Hydro Consultants, Inc.",$33 - $41 an hour,Ability to produce/manage design plans and specifications.WATER/WASTEWATER ENGINEER: The ideal candidate will have at least 6 to 8 years of experience related…
Engineer I – Water/Wastewater Master Planning,"Austin, TX 78759 (Arboretum area)",Freese & Nichols Inc,None,Interest in water resources and/or environmental engineering.Responsibilities of the position include historical analysis of water and wastewater data to…
Civil Engineer (Hydraulics),"Salt Lake City, UT",US Department of the Army,"$70,459 - $130,552 a year","Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior…"
Project Engineer I,"Boca Raton, FL 33487",Globaltech,None,Process mechanical design of water/wastewater facilities and equipment.Perform engineering calculations and design.Conduct engineering evaluation and studies.
Environmental Task Manager,"Cranbury, NJ 08512",Whitman,None,All Whitman professional staff are given on the job training for new skills and are encouraged to attend professional seminars and to participate in the…
Environmental Engineer,"Norfolk, VA 23511",Epsilon Systems Inc,None,"Attend annual meeting at CARDEROCK with USFF, NAVSEA, CNSP and NSWC to discuss environmental topics and courses associated with shipboard environmental systems…"
Senior Environmental Engineer or Scientist,"Columbia, MD 21044",SCS Engineers,None,The senior environmental professional wears two hats.5+ years working at an environmental consulting firm required.Outstanding customer service track record.
Environmental Compliance Engineer 5 to 10+ years experience,"Charlotte, NC 28203 (Southside Park area)",Hart & Hickman,None,Experience with environmental audits and compliance support at industrial facilities.Experience with SPCCs and SWPPPs.Passion for seeking the best answers.
Wastewater Operations Engineer,"Dover, DE 19901",Kent County Levy Court,"$75,386 - $97,573 a year",Registration by Delaware Association of Professional Engineers as a professional engineer required; possession and retention of or ability to obtain within the…
Drinking Water & Reuse Engineer,"Englewood, CO 80111",Jacobs,"$82,100 - $128,300 a year","As a valued Jacobs employee, you will work with multi-disciplinary teams to achieve successful design of water treatment facilities and help lead clients to the…"
Staff Scientist/ Geologist/Engineer,"Indianapolis, IN",Tetra Tech,None,"Candidates must have a bachelor's degree in geology, hydrogeology, environmental sciences, environmental engineering or a related discipline."
Environmental Engineer Project Manager 7,"Honolulu, HI",CDM Smith,None,"Education: Bachelor's degree in civil, environmental or chemical engineering.Implementation of various management and monitoring tasks for a municipal client,…"
Project Engineer - Water / WWTP,"San Diego, CA 92121 (Torrey Preserve area)",Flatiron Construction Corp,None,"Reviews all shop drawings, design specifications, material requirements and project data through the duration of the project to ensure quality and contract…"
Staff Environmental Engineer,"Reno, NV",Brown and Caldwell,None,"Conduct technical evaluations to support planning and design related to water and wastewater treatment systems, pumping systems, and piping systems."
2021 Environmental 3-month Internship/6-month Co-op,"Bloomington, MN",Braun Intertec,None,"Interact with field and office technicians, engineers and scientists.They will also be able to obtain industry and state recognized certifications."
Engineer I,"Charlotte, NC 28202 (Downtown Charlotte area)",Freese & Nichols Inc,None,"We offer a comprehensive benefits package including health insurance, paid time off, 401(k) matching, paid overtime for salaried employees, tuition…"
Entry-Level Engineer - Solid Waste,"Tampa, FL 33619",SCS Engineers,None,"This position includes opportunities for collection center siting/permitting and design, transfer station and materials recovery facility siting/permitting and…"
ENGINEER IN TRAINING (E.I.T.),"Orlando, FL",Spectra Engineering & Research,"$35,000 - $50,000 a year",Learn to communicate design requirements with contractors and equipment suppliers.Design and AutoCAD experience and use of design and modeling software (storm…
Application Engineer,"Lakeland, FL 33811","Trinova, Inc.",None,"Provide technical support to customers by responding to inquiries about our products, their application or explaining the design of their system solution that…"
"Engineering Assistant I, DEC; Engineering Assistant II, DEC;...","Anchorage, AK",State of Alaska,"$4,265 - $6,302 a month",Creative Thinking: Uses imagination to develop new insights into situations and applies innovative solutions to problems; designs new methods where established…
"Airspace Environmental Analyst - Andrews AFB, MD","Andrews AFB, MD",Colorado State University,"$80,000 - $100,000 a year","5 or more years of experience demonstrating the knowledge, skills, and abilities to evaluate potential environmental impacts of airspace/range actions and other…"
